index,origi,name,is_slack,area,lat,lon,n_neighbors,nominal_voltage_kv
478,4795,36047011400,0,3,40.639,-73.999,4,138
479,4806,36047012901,0,3,40.682,-73.979,2,138
480,4809,36047013100,0,3,40.678,-73.98,2,138
481,4811,36047013300,0,3,40.675,-73.981,2,138
482,4813,36047013500,0,3,40.673,-73.983,2,138
483,4815,36047013700,0,3,40.67,-73.985,3,138
484,4825,36047014900,0,3,40.662,-73.985,2,138
485,4829,36047015300,0,3,40.668,-73.981,4,138
486,4830,36047015400,0,3,40.611,-74.019,2,138
487,4831,36047015500,0,3,40.671,-73.979,2,138
488,4832,36047015700,0,3,40.673,-73.976,2,138
489,4833,36047015900,0,3,40.675,-73.973,2,138
490,4834,36047016000,0,3,40.619,-74.027,2,138
491,4835,36047016100,0,3,40.68,-73.973,2,138
492,4846,36047017200,0,3,40.609,-74.01,2,138
493,4851,36047017800,0,3,40.607,-74.005,2,138
494,4853,36047018000,0,3,40.608,-74.007,2,138
495,4858,36047018501,0,3,40.695,-73.974,2,138
496,4865,36047019300,0,3,40.691,-73.963,2,138
497,4867,36047019500,0,3,40.691,-73.967,2,138
498,4869,36047019700,0,3,40.688,-73.967,2,138
499,4871,36047019900,0,3,40.684,-73.967,2,138
500,4882,36047021100,0,3,40.697,-73.975,2,138
501,4884,36047021300,0,3,40.668,-73.96,2,138
502,4888,36047021700,0,3,40.673,-73.959,2,138
503,4894,36047022400,0,3,40.641,-73.99,2,138
504,4895,36047022600,0,3,40.642,-73.986,2,138
505,4896,36047022700,0,3,40.682,-73.957,2,138
506,4897,36047022800,0,3,40.639,-73.982,1,138
507,4902,36047023300,0,3,40.689,-73.957,3,138
508,4903,36047023400,0,3,40.634,-73.988,2,138
509,4908,36047024100,0,3,40.692,-73.954,2,138
510,4910,36047024300,0,3,40.687,-73.953,2,138
511,4926,36047025901,0,3,40.695,-73.946,2,138
512,4929,36047026100,0,3,40.692,-73.946,1,138
513,4939,36047027100,0,3,40.679,-73.937,2,138
514,4941,36047027300,0,3,40.681,-73.937,2,138
515,4943,36047027500,0,3,40.684,-73.938,2,138
516,4945,36047027700,0,3,40.687,-73.939,2,138
517,4946,36047027800,0,3,40.607,-74.001,2,138
518,4949,36047028100,0,3,40.693,-73.94,2,138
519,4951,36047028300,0,3,40.695,-73.94,3,138
520,4952,36047028400,0,3,40.606,-73.999,2,138
521,4953,36047028501,0,3,40.699,-73.942,2,138
522,4955,36047028600,0,3,40.6,-74.002,2,138
523,4956,36047028700,0,3,40.696,-73.935,1,138
524,4957,36047028800,0,3,40.605,-73.997,2,138
525,4959,36047029000,0,3,40.603,-73.994,3,138
526,4965,36047029600,0,3,40.601,-73.993,2,138
527,4968,36047029900,0,3,40.678,-73.926,2,138
528,4971,36047030200,0,3,40.596,-73.991,2,138
529,4973,36047030400,0,3,40.593,-73.993,2,138
530,4974,36047030500,0,3,40.677,-73.959,2,138
531,4976,36047030700,0,3,40.676,-73.926,2,138
532,4977,36047030800,0,3,40.587,-73.98,4,138
533,4979,36047031100,0,3,40.676,-73.939,3,138
534,4988,36047032500,0,3,40.667,-73.958,2,138
535,4994,36047033100,0,3,40.664,-73.942,2,138
536,4995,36047033300,0,3,40.666,-73.943,2,138
537,4998,36047033700,0,3,40.669,-73.942,2,138
538,4999,36047033900,0,3,40.671,-73.942,2,138
539,5005,36047034700,0,3,40.673,-73.928,2,138
540,5006,36047034800,0,3,40.581,-73.983,1,138
541,5009,36047035100,0,3,40.668,-73.933,2,138
542,5012,36047035400,0,3,40.58,-73.973,1,138
543,5013,36047035500,0,3,40.664,-73.933,2,138
544,5028,36047036900,0,3,40.68,-73.909,2,138
545,5037,36047038100,0,3,40.681,-73.925,2,138
546,5039,36047038300,0,3,40.685,-73.926,2,138
547,5040,36047038500,0,3,40.687,-73.927,2,138
548,5042,36047038700,0,3,40.691,-73.928,2,138
549,5044,36047038900,0,3,40.699,-73.937,2,138
550,5050,36047039500,0,3,40.693,-73.925,2,138
551,5060,36047040500,0,3,40.682,-73.905,2,138
552,5066,36047041100,0,3,40.688,-73.907,2,138
553,5075,36047041900,0,3,40.695,-73.921,3,138
554,5077,36047042100,0,3,40.697,-73.924,2,138
555,5079,36047042300,0,3,40.699,-73.927,2,138
556,5080,36047042400,0,3,40.607,-73.976,1,138
557,5083,36047042700,0,3,40.704,-73.927,2,138
558,5086,36047043000,0,3,40.609,-73.984,2,138
559,5087,36047043100,0,3,40.7,-73.92,2,138
560,5093,36047043700,0,3,40.693,-73.908,2,138
561,5095,36047043900,0,3,40.698,-73.909,2,138
562,5099,36047044300,0,3,40.703,-73.917,4,138
563,5101,36047044500,0,3,40.705,-73.92,2,138
564,5103,36047044700,0,3,40.707,-73.923,3,138
565,5105,36047044900,0,3,40.718,-73.931,5,345
566,5109,36047045400,0,3,40.619,-73.965,1,138
567,5120,36047047600,0,3,40.631,-73.981,2,138
568,5125,36047048200,0,3,40.633,-73.97,2,138
569,5126,36047048400,0,3,40.634,-73.974,3,138
570,5130,36047048900,0,3,40.703,-73.939,2,138
571,5131,36047049000,0,3,40.638,-73.973,3,138
572,5132,36047049100,0,3,40.704,-73.944,3,138
573,5134,36047049300,0,3,40.708,-73.941,4,138
574,5137,36047049600,0,3,40.644,-73.98,2,138
575,5140,36047049900,0,3,40.721,-73.947,3,138
576,5141,36047050000,0,3,40.648,-73.977,2,138
577,5148,36047050700,0,3,40.701,-73.947,1,138
578,5149,36047050801,0,3,40.651,-73.961,2,138
579,5154,36047051002,0,3,40.649,-73.96,1,138
580,5157,36047051300,0,3,40.712,-73.952,3,138
581,5159,36047051500,0,3,40.719,-73.951,3,138
582,5162,36047051700,0,3,40.721,-73.955,2,138
583,5164,36047051900,0,3,40.716,-73.955,4,138
584,5169,36047052700,0,3,40.708,-73.954,2,138
585,5171,36047052900,0,3,40.706,-73.955,2,138
586,5173,36047053100,0,3,40.701,-73.954,2,138
587,5175,36047053300,0,3,40.704,-73.957,2,138
588,5180,36047053900,0,3,40.703,-73.963,2,138
589,5184,36047054500,0,3,40.705,-73.965,2,138
590,5186,36047054700,0,3,40.709,-73.967,3,138
591,5190,36047055100,0,3,40.713,-73.963,2,138
592,5199,36047056100,0,3,40.726,-73.955,4,138
593,5201,36047056300,0,3,40.733,-73.955,2,138
594,5203,36047056500,0,3,40.73,-73.955,2,138
595,5207,36047057000,0,3,40.599,-73.937,1,138
596,5208,36047057100,0,3,40.725,-73.948,2,138
597,5209,36047057200,0,3,40.596,-73.938,2,138
598,5210,36047057300,0,3,40.728,-73.949,2,138
599,5212,36047057500,0,3,40.732,-73.953,2,138
600,5215,36047057900,0,3,40.734,-73.948,5,138
601,5269,36047069601,0,3,40.627,-73.915,2,138
602,5271,36047069800,0,3,40.612,-73.916,2,138
603,5273,36047070201,0,3,40.609,-73.909,3,138
