index,from_bus,to_bus,ckt,is_transformer,tr_ratio,x_pu,b_pu,s_max_pu,status
324,175,176,1,0,0,0.00118,847.4576271,2.4,1
325,175,179,1,0,0,0.0026,384.6153846,2.4,1
326,176,178,1,0,0,0.00096,1041.666667,2.4,1
327,177,187,1,0,0,0.00117,854.7008547,2.05,1
328,178,180,1,0,0,0.00079,1265.822785,2.4,1
329,179,180,1,0,0,0.00077,1298.701299,2.4,1
330,180,182,1,0,0,0.00092,1086.956522,2.4,1
331,181,182,1,0,0,0.0003,3333.333333,2.4,1
332,181,185,1,0,0,0.00046,2173.913043,2.4,1
333,182,256,1,0,0,0.00169,591.7159763,2.4,1
334,183,184,1,0,0,0.00079,1265.822785,2.4,1
335,183,260,1,0,0,0.00106,943.3962264,2.4,1
336,184,191,1,0,0,0.00072,1388.888889,2.4,1
337,184,247,1,0,0,0.00239,418.4100418,2.4,1
338,185,189,1,0,0,0.00105,952.3809524,2.4,1
339,186,190,1,0,0,0.0006,1666.666667,2.4,1
340,187,226,1,0,0,0.0016,625,2.05,1
341,188,192,1,0,0,0.00121,826.446281,2.4,1
342,188,210,1,0,0,0.00122,819.6721311,2.4,1
343,189,193,1,0,0,0.00117,854.7008547,2.4,1
344,190,192,1,0,0,0.00067,1492.537313,2.4,1
345,191,193,1,0,0,0.00096,1041.666667,2.4,1
346,194,209,1,0,0,0.00153,653.5947712,2.4,1
347,195,196,1,0,0,0.00061,1639.344262,2.84,1
348,195,201,1,0,0,0.0021,476.1904762,2.4,1
349,195,215,1,0,0,0.00551,181.4882033,2.4,1
350,195,1761,1,0,0,0.00517,193.4235977,3.07,1
351,196,198,1,0,0,0.00079,1265.822785,2.84,1
352,197,200,1,0,0,0.0011,909.0909091,2.61,1
353,198,261,1,0,0,0.00065,1538.461538,2.61,1
354,199,200,1,0,0,0.00083,1204.819277,2.38,1
355,199,214,1,0,0,0.00311,321.5434084,2.05,1
356,199,216,1,0,0,0.00139,719.4244604,2.4,1
357,201,203,1,0,0,0.00145,689.6551724,2.4,1
358,202,216,1,0,0,0.0021,476.1904762,2.84,1
359,202,218,1,0,0,0.00217,460.8294931,3.17,1
360,202,687,1,0,0,0.01958,51.07252298,4.18,1
361,203,206,1,0,0,0.00081,1234.567901,2.4,1
362,204,205,1,0,0,0.00148,675.6756757,2.4,1
363,204,206,1,0,0,0.00118,847.4576271,2.4,1
364,204,267,1,0,0,0.00192,520.8333333,2.4,1
365,205,273,1,0,0,0.00199,502.5125628,2.4,1
366,206,211,1,0,0,0.00113,884.9557522,2.4,1
